id,nome,latitude,longitude,ano,sem,ta
290270,Barra,-11.0889548205462,-43.1436385524586,2016,32,5
290320,Barreiras,-12.1449248883906,-45.0041684370285,2016,32,4
290327,Barrocas,-11.5291128520783,-39.0786688809182,2016,12,1
290330,Barro Preto,-14.8097543871027,-39.4733346713801,2016,32,1
290340,Belmonte,-15.8613964917869,-38.8803032385601,2016,32,1
290350,Belo Campo,-15.0334961972012,-41.2600334790203,2016,32,1
290390,Bom Jesus da Lapa,-13.2541143730901,-43.417141642139,2016,32,3
290400,Boninal,-12.7151207923139,-41.8243284848072,2016,32,1
290405,Bonito,-11.9695725020911,-41.2684027881505,2016,32,1
290440,Brejolândia,-12.486693342119,-43.9656645942921,2016,32,1
290450,Brotas de Macaúbas,-12.0026355373041,-42.6246912893431,2016,32,1
290460,Brumado,-14.2054382406597,-41.6670695036664,2016,32,1
290470,Buerarema,-14.9564408366046,-39.3025196057871,2016,32,2
290490,Cachoeira,-12.5962107984627,-38.9693980689823,2016,32,3
290540,Cairu,-13.4876034013497,-39.0432543550852,2016,32,1
290560,Camacan,-15.417626851831,-39.4963673314917,2016,32,2
290570,Camaçari,-12.69881676,-38.3257400620652,2016,32,27
290590,Campo Alegre de Lourdes,-9.51715411399994,-43.0122984390904,2016,32,4
290600,Campo Formoso,-10.5056615545438,-40.3188209870999,2016,32,6
290620,Canarana,-11.6875833139667,-41.7654922319867,2016,32,1
290630,Canavieiras,-15.6797774765314,-38.9473758746396,2016,32,2
290650,Candeias,-12.6719227052682,-38.5435962675254,2016,32,13
290680,Cansanção,-10.6667499148657,-39.4966050064607,2016,32,1
290682,Canudos,-9.8906729609418,-39.024071242689,2016,32,2
290687,Capim Grosso,-11.3815744576449,-40.0110006117175,2016,32,3
290720,Casa Nova,-9.17859457408863,-40.9757969268709,2016,32,1
290730,Castro Alves,-12.7658326369124,-39.426519430322,2016,32,2
290750,Catu,-12.3551865588507,-38.3762943035541,2016,32,5
290755,Caturama,-13.3282013504011,-42.2964066437467,2016,32,1
290770,Chorrochó,-8.97547780401288,-39.1023700774151,2016,32,3
290780,Cícero Dantas,-10.5921715319251,-38.3834191278696,2016,32,3
290820,Conceição da Feira,-12.503991911881,-38.9997807982437,2016,32,1
290830,Conceição do Almeida,-12.7780203224236,-39.1709464493763,2016,32,1
290840,Conceição do Coité,-11.5618258458634,-39.2816841782278,2016,32,3
290850,Conceição do Jacuípe,-12.322946459029,-38.7636737165227,2016,32,4
290860,Conde,-11.8134317610463,-37.6069779820631,2016,32,5
290890,Coração de Maria,-12.2479210100615,-38.7505165473666,2016,32,1
290920,Coronel João Sá,-10.279395400226,-37.9329643376141,2016,32,1
290940,Cotegipe,-12.0285973836155,-44.2524761376623,2016,32,1
290950,Cravolândia,-13.3626230640403,-39.8127117486746,2016,32,1
290960,Crisópolis,-11.5177899236101,-38.1517158173066,2016,32,3
290980,Cruz das Almas,-12.6637862127757,-39.1007361428306,2016,32,3
291005,Dias d'Ávila,-12.6043684168205,-38.2979935898508,2016,32,4
291030,Elísio Medrado,-12.9433258382093,-39.5204855551496,2016,32,1
291050,Entre Rios,-11.9372613704434,-38.078777019756,2016,32,5
291060,Esplanada,-11.799409496062,-37.9449814740986,2016,32,6
291070,Euclides da Cunha,-10.5058180636519,-39.0142487251363,2016,32,4
291072,Eunápolis,-16.3751672322564,-39.5841719409864,2016,32,54
291080,Feira de Santana,-12.2292842524801,-38.9600330963214,2016,32,31
291110,Formosa do Rio Preto,-11.0470324906679,-45.190990909729,2016,32,3
291120,Gandu,-13.7437807885113,-39.4863240792918,2016,32,1
291130,Gentio do Ouro,-11.4275313127499,-42.5047423861031,2016,32,1
291140,Glória,-9.34017318364545,-38.2592732301041,2016,32,1
291150,Gongogi,-14.3237132993301,-39.4672396549531,2016,32,1
291160,Governador Mangabeira,-12.601553838445,-39.0340236148013,2016,32,1
291170,Guanambi,-14.2253150270076,-42.7785619667054,2016,32,5
291185,Heliópolis,-10.6752987880285,-38.2802330422697,2016,32,1
291190,Iaçu,-12.7691377865306,-40.2133652349888,2016,32,1
291240,Ibipeba,-11.6375264431558,-42.011248439896,2016,32,1
291260,Ibiquera,-12.6499286126214,-40.9354210018921,2016,32,1
291270,Ibirapitanga,-14.1650324961225,-39.3744665327401,2016,32,1
